Question Num,Text,Barriers,Triage level
5SD_0043,"I am currently homeless, and it's very difficult to keep track of my medication schedule or store my pills securely.",4 - Your econimic situation,1 - High
5SD_0044,"I'm behind on paying my bills, which makes me anxious about my housing stability and medication access.",4 - Your econimic situation,1 - High
5SD_0045,"I am currently in a shelter, which makes it hard to keep my medication organized and accessible.",4 - Your econimic situation,1 - High
5SD_0046,"Because of ongoing rent issues, I sometimes skip taking my medication to save money.",4 - Your econimic situation,1 - High
5SD_0047,"Losing my housing has made it very difficult to keep track of my medication, and I forget doses several times because of this.",4 - Your econimic situation,1 - High
5SD_0048,"Because I am homeless, I often have trouble storing and remembering to take my medication.",4 - Your econimic situation,1 - High
5SD_0049,Housing instability is causing me anxiety about my treatment routine.,4 - Your econimic situation,2 - Medium
5SD_0050,Lack of stable housing makes it difficult to store and take my medications regularly.,4 - Your econimic situation,1 - High
5SD_0051,"I've recently become homeless, which makes medication management very challenging.",4 - Your econimic situation,1 - High
5SD_0052,Losing my housing could soon affect my ability to take medications consistently.,4 - Your econimic situation,1 - High
5SD_0053,"I'm worried about my finances because I have mounting medical bills, but I haven't missed any doses of my medication.",4 - Your econimic situation,3 - Low
5SD_0054,"Due to recent financial hardships, I sometimes have to choose between paying for food or my medication, but I always manage to take my meds on time.",4 - Your econimic situation,3 - Low
5SD_0055,"My housing situation is stable, but I worry about future costs of treatment as my income is limited.",4 - Your econimic situation,2 - Medium
5SD_0056,"My financial situation is tight, but I am managing to take my medication as prescribed.",4 - Your econimic situation,3 - Low
5SD_0057,"My income is limited, but I prioritize my medication and haven't missed any doses.",4 - Your econimic situation,3 - Low
5SD_0058,"My income is low, but I am committed to taking my medication as prescribed.",4 - Your econimic situation,3 - Low
5SD_0059,"My housing situation is unstable; I recently moved into temporary shelter, which makes managing my medication schedule challenging.",4 - Your econimic situation,2 - Medium
5SD_0060,"My income has decreased significantly, and I am worried about affording my treatment, but I haven't missed any doses yet.",4 - Your econimic situation,3 - Low
5SD_0061,"Financial issues have made it tough to refill my prescriptions on time, and I sometimes delay taking my medication.",4 - Your econimic situation,2 - Medium
5SD_0062,"Because of my financial struggles, I sometimes skip my medication, but I don't think it's affecting my health right now.",4 - Your econimic situation,2 - Medium
5SD_0063,"Due to financial constraints, I sometimes ration my medication, but I try to take it regularly.",4 - Your econimic situation,2 - Medium
5SD_0064,"I am worried about losing my housing soon, which could interfere with my medication routine.",4 - Your econimic situation,2 - Medium
5SD_0065,"Financial difficulties have caused me to delay refilling my prescriptions, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0066,"Struggling with bills, I worry about affording my medications, but I haven't had to miss any doses yet.",4 - Your econimic situation,3 - Low
5SD_0067,"Due to rent increases, I am feeling stressed about maintaining my medication routine.",4 - Your econimic situation,2 - Medium
5SD_0068,"Financial hardship has caused me to ration my medication doses, but I haven't missed any doses.",4 - Your econimic situation,3 - Low
5SD_0069,"My housing situation is precarious, and I worry it might interfere with my treatment schedule.",4 - Your econimic situation,2 - Medium
5SD_0070,Rising rent and utility bills are making it hard to keep up with my medication schedule.,4 - Your econimic situation,2 - Medium
5SD_0071,"My financial problems have led me to skip doses sometimes, but I am trying to stay consistent.",4 - Your econimic situation,2 - Medium
5SD_0072,"I manage my medication well despite financial difficulties, but I worry about future costs.",4 - Your econimic situation,3 - Low
5SD_0073,"Due to ongoing rent issues, I sometimes miss doses, but I try to catch up quickly.",4 - Your econimic situation,2 - Medium
5SD_0074,"My housing is stable, but I worry about upcoming the inflation, is it gonna affecting my treatment? ",4 - Your econimic situation,3 - Low
5SD_0075,"Financial hardship has led to rationing pills, but I haven't missed doses yet.",4 - Your econimic situation,3 - Low
5SD_0076,Rising costs have made me anxious about maintaining my medication routine.,4 - Your econimic situation,2 - Medium
5SD_0077,"Financial difficulties are causing me to delay medication refills, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0078,"My rent has increased, but I am managing my medication routine without issues so far.",4 - Your econimic situation,3 - Low
5SD_0079,"My income is stable, and I have no current financial issues affecting my medication adherence.",4 - Your econimic situation,4 - None
5SD_0080,"My housing situation is secure, and I am able to follow my medication schedule without issues.",4 - Your econimic situation,4 - None
5SD_0081,"I have stable housing and income, so I don't have any financial barriers to medication adherence.",4 - Your econimic situation,4 - None
5SD_0082,I am currently in a stable housing situation and have no issues with medication access.,4 - Your econimic situation,4 - None
5SD_0083,"My financial situation is improving, and I am able to adhere to my medication schedule without issues.",4 - Your econimic situation,4 - None
5SD_0084,"I have stable housing and income, so I do not face financial barriers to my treatment.",4 - Your econimic situation,4 - None
5SD_0085,"My housing situation is secure, and I have no current financial barriers to medication adherence.",4 - Your econimic situation,4 - None
5SD_0086,I've been worried about paying my rent this month since my work hours have been cut back.,4 - Your econimic situation,3 - Low
5SD_0087,"My housing situation is unstable, and I'm concerned about losing my apartment soon.",4 - Your econimic situation,2 - Medium
5SD_0088,"I'm experiencing housing instability, which is making it hard to keep my medication organized and on schedule.",4 - Your econimic situation,1 - High
5SD_0089,I'm worried about my ability to pay for medication next month due to recent layoffs.,4 - Your econimic situation,1 - High
5SD_0090,"I'm worried about eviction due to unpaid rent, which might impact my ability to stay adherent to medication.",4 - Your econimic situation,1 - High
5SD_0091,"Losing my job has made me anxious about affording my medication, but I haven't missed any doses.",4 - Your econimic situation,3 - Low
5SD_0092,"I am currently facing eviction threats, which makes me anxious about my health management.",4 - Your econimic situation,2 - Medium
5SD_0093,"Due to recent job loss, I am concerned about my ability to pay for my medication in the near future.",4 - Your econimic situation,2 - Medium
5SD_0094,I'm worried that I might not be able to afford my medication soon due to financial instability.,4 - Your econimic situation,2 - Medium
5SD_0095,"My income has decreased, and I am worried about upcoming bills, but I still manage to keep up with my treatment.",4 - Your econimic situation,3 - Low
5SD_0096,"I'm worried about losing my housing soon, but I haven't noticed any impact on my medication adherence.",4 - Your econimic situation,3 - Low
5SD_0097,"Because of my current financial struggles, I sometimes feel overwhelmed, but I continue my medication as prescribed.",4 - Your econimic situation,3 - Low
5SD_0098,"Lately, I've been facing housing issues, but my medication routine remains unaffected so far.",4 - Your econimic situation,3 - Low
5SD_0099,"Financial hardship has caused me stress, but I am keeping up with my medication routine without issue.",4 - Your econimic situation,3 - Low
5SD_0100,"Housing instability is a concern, but I am managing to keep up with my medication schedule.",4 - Your econimic situation,3 - Low
5SD_0101,"My financial situation is tight, but I am committed to adhering to my medication regimen.",4 - Your econimic situation,2 - Medium
5SD_0102,"Housing issues are affecting my daily routine, but I haven't missed any doses.",4 - Your econimic situation,3 - Low
5SD_0103,"I'm currently behind on my utility bills, and it's causing me additional anxiety about my living conditions.",4 - Your econimic situation,2 - Medium
5SD_0104,"I've been struggling to pay my rent, which sometimes distracts me from remembering to take my medication on time.",4 - Your econimic situation,2 - Medium
5SD_0105,"Due to recent job loss, I am worried about affording my healthcare and medication, but I haven't missed any doses yet.",4 - Your econimic situation,3 - Low
5SD_0106,"Due to financial hardship, I sometimes have to skip meals, but I haven't missed any doses of my medication.",4 - Your econimic situation,3 - Low
5SD_0107,"Financial issues are making it difficult to afford my prescriptions, but I haven't missed any doses yet.",4 - Your econimic situation,3 - Low
5SD_0108,"My financial situation is tight, but I haven't missed any doses and plan to keep up with my treatment.",4 - Your econimic situation,3 - Low
5SD_0109,"Because I am struggling financially, I sometimes delay refilling my prescriptions, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0110,"Housing instability has made it difficult to store my medication properly, though I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0111,"My income is uncertain, but I am doing my best to stay consistent with my medication schedule.",4 - Your econimic situation,2 - Medium
5SD_0112,"Because of recent economic difficulties, I sometimes worry about affording my healthcare expenses.",4 - Your econimic situation,2 - Medium
5SD_0113,"Financial strain is affecting my mental health, but I continue my treatment without interruptions.",4 - Your econimic situation,3 - Low
5SD_0114,"Due to recent financial difficulties, I sometimes delay refilling my medication, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0115,"I'm worried about my ability to pay rent, which causes me stress but hasn't affected my medication routine.",4 - Your econimic situation,3 - Low
5SD_0116,"Lately, financial worries have been overwhelming, but I haven't missed any medication doses.",4 - Your econimic situation,3 - Low
5SD_0117,"Financial difficulties have caused me stress, but I continue my medication routine as prescribed.",4 - Your econimic situation,3 - Low
5SD_0118,"Financial stress is affecting my mental health, but I am managing to stay adherent to my medication.",4 - Your econimic situation,3 - Low
5SD_0119,"Financially, things have been tight lately, but I manage to keep up with my medication routine without issues.",4 - Your econimic situation,3 - Low
5SD_0120,There are no financial issues affecting my medication routine; I am managing well financially.,4 - Your econimic situation,4 - None
5SD_0121,"My housing situation is stable, and I don't have any financial concerns at the moment.",4 - Your econimic situation,4 - None
5SD_0122,"My financial situation is stable now, and I don't anticipate any issues with my medication adherence.",4 - Your econimic situation,4 - None
5SD_0123,I have no current financial issues affecting my ability to take my medication as prescribed.,4 - Your econimic situation,4 - None
5SD_0124,"My housing is secure, and I have no financial concerns impacting my medication adherence.",4 - Your econimic situation,4 - None
5SD_0125,"My housing and financial situation are stable, and I haven't experienced any barriers to medication adherence.",4 - Your econimic situation,4 - None
5SD_0126,"I have stable housing and adequate financial resources, so I don't face barriers to medication adherence.",4 - Your econimic situation,4 - None
5SD_0127,"My current financial status is stable, and I haven't experienced barriers to medication adherence.",4 - Your econimic situation,4 - None
5SD_0128,"I've been feeling depressed because of the stigma I face in my community, which always affects my motivation to take medication.",3 - Your social situation,1 - High
5SD_0129,"Some of my family members are aware of my condition, but they haven't been very supportive, which makes me feel isolated.",3 - Your social situation,2 - Medium
5SD_0130,"My community has a stigma against HIV, and I fear being ostracized if others find out about my status. So I tried to hide my medication.",3 - Your social situation,2 - Medium
5SD_0131,"I sometimes feel ashamed to disclose my status and to take my meds openly, fearing social rejection.",3 - Your social situation,2 - Medium
5SD_0132,"There's a lot of misinformation about HIV treatment in my community, which increases my fear of stigma.",3 - Your social situation,2 - Medium
5SD_0133,I worry about being rejected by my community because of my HIV status and stuff like taking ARTs.,3 - Your social situation,2 - Medium
5SD_0134,"I worry about gossip and rumors spreading about my HIV status in my neighborhood, since they saw me taking meds.",3 - Your social situation,2 - Medium
5SD_0135,I avoid social interactions because I'm worried about stigma and discrimination.,3 - Your social situation,2 - Medium
5SD_0136,"I feel anxious about the social stigma in my community, which deeply affects my treatment.",3 - Your social situation,1 - High
5SD_0137,I worry that disclosing my HIV treatment might lead to social exclusion or discrimination.,3 - Your social situation,2 - Medium
5SD_0138,I feel overwhelmed by the social challenges related to my treatment.,3 - Your social situation,1 - High
5SD_0139,I sometimes avoid telling my friends about my medication schedule because I'm worried they'll judge me or ask uncomfortable questions.,3 - Your social situation,2 - Medium
5SD_0140,"I feel anxious when I think about how others perceive me because of my HIV status, but I try to focus on staying positive.",3 - Your social situation,3 - Low
5SD_0141,"Sometimes I worry about being judged if I tell my new friends about my condition, but I haven't faced any discrimination so far and I'm all good with my treatment.",3 - Your social situation,3 - Low
5SD_0142,"Sometimes I feel unnecessary to talk about my HIV status with new people I meet, it's my own stuff.",3 - Your social situation,3 - Low
5SD_0143,"I avoid discussing my HIV status with new colleagues to prevent awkwardness, that's private.",3 - Your social situation,3 - Low
5SD_0144,I sometimes hide my medication schedule from others to avoid questions or judgment.,3 - Your social situation,2 - Medium
5SD_0145,I've been feeling really isolated lately because some friends have started to distance themselves after I disclosed my HIV status. It makes me worry about how stigma affects my relationships.,3 - Your social situation,2 - Medium
5SD_0146,I just feel like I can't talk openly about my health.,3 - Your social situation,3 - Low
5SD_0147,"Since I shared my HIV diagnosis with my family, I've noticed some relatives are avoiding me, which makes me feel lonely and stigmatized, and it also affects my treatment as well.",3 - Your social situation,2 - Medium
5SD_0148,"I experienced some stigma at work after my diagnosis, which made me hesitant to take my pills in front of my colleagues.",3 - Your social situation,2 - Medium
5SD_0149,"I recently started dating again and find it hard to bring up my HIV status, fearing it might affect my chances.",3 - Your social situation,3 - Low
5SD_0150,I avoid social gatherings because I don't want to explain my health situation repeatedly.,3 - Your social situation,3 - Low
5SD_0151,I worry that my HIV status might affect my job prospects because of stigma and discrimination.,3 - Your social situation,2 - Medium
5SD_0152,I feel anxious about how my friends might react if they find out about my HIV status if I take my pills when I am with them.,3 - Your social situation,2 - Medium
5SD_0153,Sometimes I feel lonely because I hide my HIV treatment from most people I know.,3 - Your social situation,2 - Medium
5SD_0154,I avoid social events because I need to take meds everyday. I fear my HIV status might be revealed and lead to stigma if im in a party or something like that.,3 - Your social situation,2 - Medium
5SD_0155,I sometimes feel anxious about my treatment and how my HIV status might affect my family relationships.,3 - Your social situation,2 - Medium
5SD_0156,I isolate myself because I don't want to burden my friends with my health issues.,3 - Your social situation,3 - Low
5SD_0157,"Sometimes I feel ashamed to tell my new friends about my HIV treatment, fearing judgment.",3 - Your social situation,2 - Medium
5SD_0158,I sometimes hesitate to talk about my HIV treatment with new friends because of fear of rejection.,3 - Your social situation,2 - Medium
5SD_0159,I avoid taking my pills with new acquaintances to prevent awkwardness or judgment.,3 - Your social situation,2 - Medium
5SD_0160,I experience anxiety about how my HIV status might affect my social life and relationships.,3 - Your social situation,3 - Low
5SD_0161,"My neighbor has been very supportive and has offered to accompany me to doctor appointments, which helps me feel less alone.",3 - Your social situation,4 - None
5SD_0162,"My friend was very supportive when I told her about my HIV, and she even helped me find a support group.",3 - Your social situation,4 - None
5SD_0163,"I have a good relationship with my healthcare provider and trust their advice, which helps me stay adherent.",3 - Your social situation,4 - None
5SD_0164,My friends are very accepting and have never made me feel judged about my HIV status.,3 - Your social situation,4 - None
5SD_0165,My sister has been very supportive and helps me manage my appointments and medication reminders.,3 - Your social situation,4 - None
5SD_0166,"My community health worker has connected me with local support groups, which has improved my mental health.",3 - Your social situation,4 - None
5SD_0167,My roommate is supportive and helps me stay positive despite the social challenges I face.,3 - Your social situation,4 - None
5SD_0168,I have a close friend who knows about my condition and always encourages me to stay healthy.,3 - Your social situation,4 - None
5SD_0169,"My healthcare team is understanding, and I feel comfortable discussing my concerns with them.",3 - Your social situation,4 - None
5SD_0170,My cousin has been very supportive and understands the challenges I face.,3 - Your social situation,4 - None
5SD_0171,My friends have been very understanding and respect my privacy about my health.,3 - Your social situation,4 - None
5SD_0172,My support group helps me cope with social stigma and share experiences.,3 - Your social situation,4 - None
5SD_0173,My partner is very supportive and helps me manage the emotional aspects of living with HIV.,3 - Your social situation,4 - None
5SD_0174,"My community has programs to reduce stigma, which has helped me feel more accepted.",3 - Your social situation,4 - None
5SD_0175,"I have a friend who openly discusses HIV-related issues, giving me confidence to share my experience.",3 - Your social situation,4 - None
5SD_0176,My family has been very understanding and supportive since I disclosed my HIV status.,3 - Your social situation,4 - None
5SD_0177,"My healthcare provider has been a great source of support, which helps me feel less isolated.",3 - Your social situation,4 - None
5SD_0178,"My neighbors are understanding, and I feel safe sharing my health concerns with them.",3 - Your social situation,4 - None
5SD_0179,My support network includes friends and family who respect my privacy and support my health choices.,3 - Your social situation,4 - None
5SD_0180,"My community outreach programs have helped reduce stigma, making me more comfortable in social settings.",3 - Your social situation,4 - None
5SD_0181,My friends are very supportive and encourage me to stay positive despite social challenges.,3 - Your social situation,4 - None
5SD_0182,My family is proud of me for managing my condition and offers emotional support.,3 - Your social situation,4 - None
5SD_0183,"My local community has initiatives to combat HIV stigma, which has improved my experience.",3 - Your social situation,4 - None
5SD_0184,I've been worried about paying for my medication this month because my hours at work got cut. I'm not sure if I can afford the copay or the pharmacy might delay my refills.,4 - Your econimic situation,1 - High
5SD_0185,"My rent is overdue again, and I haven't been able to buy my medication on time. It makes me anxious about missing doses.",4 - Your econimic situation,1 - High
5SD_0186,"I'm currently behind on my bills, and I'm worried I might have to choose between paying for my meds or paying for food this month.",4 - Your econimic situation,1 - High
5SD_0187,"Financial issues have been piling up, and I haven't been able to refill my prescriptions lately because I can't afford the medication.",4 - Your econimic situation,1 - High
5SD_0188,"I've been worried about losing my apartment soon because I haven't paid rent for a couple of months, and I fear it could impact my medication routine.",4 - Your econimic situation,1 - High
5SD_0189,"Due to recent job loss, I am having trouble paying for my meds, and I fear I might miss doses if my situation doesn't improve.",4 - Your econimic situation,1 - High
5SD_0190,"Because I can't afford my rent this month, I might have to move.",4 - Your econimic situation,2 - Medium
5SD_0191,"I recently lost my job, and now paying for my medication is a big stressor for me.",4 - Your econimic situation,2 - Medium
5SD_0192,"My rent is overdue, and I'm worried I might have to skip my medication because I can't afford it right now.",4 - Your econimic situation,2 - Medium
5SD_0193,"I'm currently behind on bills, which makes me anxious about my ability to afford my medications.",4 - Your econimic situation,2 - Medium
5SD_0194,"Financial stress is affecting me, and I worry about missing doses if I can't pay my bills soon.",4 - Your econimic situation,2 - Medium
5SD_0195,"My economic situation is strained, and I worry I might have to skip doses if things don't improve.",4 - Your econimic situation,2 - Medium
5SD_0196,"I struggle with paying rent and medication costs, which sometimes causes me to miss doses.",4 - Your econimic situation,2 - Medium
5SD_0197,"My financial situation is tight, but I manage to get my meds regularly. I just worry about what happens if things get worse.",4 - Your econimic situation,3 - Low
5SD_0198,"I'm currently experiencing some housing difficulties, but I haven't missed any doses yet. Just worried about the future.",4 - Your econimic situation,3 - Low
5SD_0199,"I've been struggling to make ends meet, which has caused some stress about my healthcare costs, but I haven't missed any doses.",4 - Your econimic situation,3 - Low
5SD_0200,"My income is low, but I receive assistance, which helps me stay on top of my medication schedule.",4 - Your econimic situation,3 - Low
5SD_0201,"Lately, I've been struggling to keep up with my appointments because I don't have stable housing. Sometimes I sleep in my car or couch surf, so going to the clinic is hard.",4 - Your econimic situation,2 - Medium
5SD_0202,"My housing situation is unstable, and sometimes I have to skip meals or cut back on expenses, which makes me worried about my health.",4 - Your econimic situation,2 - Medium
5SD_0203,"Sometimes I have to skip my medication because I run out of money before my payday, but I try to catch up when I can.",4 - Your econimic situation,1 - High
5SD_0204,"I don't make a lot of money, but I am good with my treatment, I haven't missed doses yet.",4 - Your econimic situation,3 - Low
5SD_0205,"Currently, I am behind on my utility bills, and this financial strain makes me anxious about maintaining my medication schedule.",4 - Your econimic situation,2 - Medium
5SD_0206,"My income is unstable, but I haven't skipped any doses yet.",4 - Your econimic situation,3 - Low
5SD_0207,"I'm living paycheck to paycheck, and I always have to prioritize rent over medications, but I try to stay consistent.",4 - Your econimic situation,1 - High
5SD_0208,I'm on a tight budget and sometimes worry about being able to refill my prescriptions.,4 - Your econimic situation,2 - Medium
5SD_0209,"My housing situation is uncertain, and I am concerned about how this affects my life.",4 - Your econimic situation,2 - Medium
5SD_0210,I sometimes have to skip meals because I can't afford both food and medication.,4 - Your econimic situation,1 - High
5SD_0211,"Financial difficulties have made it hard to buy my meds lately, but I haven't missed doses yet.",4 - Your econimic situation,3 - Low
5SD_0212,"Because of recent economic hardship, I work really hard to keep my life as normal as possible.",4 - Your econimic situation,3 - Low
5SD_0213,"Because I don't have stable housing, always  I miss doses or have trouble refilling prescriptions on time.",4 - Your econimic situation,1 - High
5SD_0214,"Recently, my housing situation worsened, and I fear it might impact my ability to stay adherent to my meds.",4 - Your econimic situation,2 - Medium
5SD_0215,"Due to financial hardship, I sometimes delay refilling my medication, but I haven't missed doses yet.",4 - Your econimic situation,3 - Low
5SD_0216,"Life is expensive now, everything needs to be paid. It has caused me to miss doses occasionally, but I try to stay on schedule.",4 - Your econimic situation,2 - Medium
5SD_0217,I am worried about being able to afford my medication if my financial situation worsens.,4 - Your econimic situation,2 - Medium
5SD_0218,"Because of ongoing financial hardship, I sometimes delay refilling my prescriptions, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0219,"I recently moved to a new place, and it temporarily disrupted my medication routine, but I am catching up.",4 - Your econimic situation,2 - Medium
5SD_0220,Money is making me anxious about my ability to stay consistent with my medication schedule.,4 - Your econimic situation,2 - Medium
5SD_0221,"My rent is paid on time, and I haven't had any financial issues with my medication, but what if there is any unexpected expenses? Who knows",4 - Your econimic situation,3 - Low
5SD_0222,"My financial situation is stable for now, and I haven't had any issues with medication access.",4 - Your econimic situation,4 - None
5SD_0223,"Although my financial situation isn't perfect, I manage to keep up with my medication schedule without issues.",4 - Your econimic situation,3 - Low
5SD_0224,"My housing is stable, and I haven't faced any financial barriers to my medication, so I feel confident about my adherence.",4 - Your econimic situation,4 - None
5SD_0225,"My living situation is secure, and I haven't had any issues with paying for my medication.",4 - Your econimic situation,4 - None
5SD_0226,"I am managing my finances well, and my medication adherence has been consistent.",4 - Your econimic situation,4 - None
5SD_0227,I pay my rent on time and have no current financial barriers to my medication.,4 - Your econimic situation,4 - None
5SD_0228,"Living arrangements are stable, and I haven't faced any issues with my medication routine.",4 - Your econimic situation,4 - None
5SD_0229,"My housing and financial situation are stable now, and I haven't had any adherence issues.",4 - Your econimic situation,4 - None
5SD_0230,"My housing is secure, and I manage to keep up with medication costs without issues.",4 - Your econimic situation,4 - None
5SD_0231,"I haven't faced any financial barriers recently, and I take my meds as prescribed.",4 - Your econimic situation,4 - None
5SD_0232,I've been worried about paying for my medication this month because my job's been unstable lately. I have skipped several doses because I can't afford them.,4 - Your econimic situation,1 - High
5SD_0233,"My rent is overdue, and I haven't been able to focus on my health. I worry that if I don't get my medication, my health could get worse.",4 - Your econimic situation,1 - High
5SD_0234,"Recently, I lost my job, and now I am worried about paying for my medication.",4 - Your econimic situation,1 - High
5SD_0235,"My income is very limited, and I often have to skip meals to afford my meds. I'm worried about the long-term effects.",4 - Your econimic situation,1 - High
5SD_0236,"I recently lost my job, and it's been tough to keep up with my health needs. I might run out of meds soon if things don't improve.",4 - Your econimic situation,1 - High
5SD_0237,"I worry about losing my home, which might make it harder to keep up with my medication schedule.",4 - Your econimic situation,2 - Medium
5SD_0238,"Financial stress has been overwhelming lately, and I skip doses because I can't afford the bill.",4 - Your econimic situation,1 - High
5SD_0239,"Due to recent job loss, I am worried I might run out of medication soon if I can't find work.",4 - Your econimic situation,1 - High
5SD_0240,I'm worried about losing my apartment.,4 - Your econimic situation,2 - Medium
5SD_0241,"Due to my limited income, I sometimes have to make tough choices about expenses.",4 - Your econimic situation,3 - Low
5SD_0242,"Lately, I've been worried about paying my rent, which distracts me from managing my health properly.",4 - Your econimic situation,2 - Medium
5SD_0243,"My financial situation hasn't changed much. Overall, I manage my meds okay.",4 - Your econimic situation,4 - None
5SD_0244,"Sometimes I worry about my ability to pay rent, but I still manage to take my medication regularly.",4 - Your econimic situation,3 - Low
5SD_0245,"My income is limited, but I've managed to keep up with my medication so far.",4 - Your econimic situation,3 - Low
5SD_0246,"Lately, I've been struggling to make ends meet, and it's been stressful, and I'm anxious about how long I can keep up with the medication costs.",4 - Your econimic situation,1 - High
5SD_0247,My housing situation is unstable; I sometimes stay with friends or move around. It makes managing my medication schedule a bit harder but I haven't missed doses.,4 - Your econimic situation,3 - Low
5SD_0248,"Because of my financial struggles, I sometimes delay refilling my prescription, but I haven't missed doses yet.",4 - Your econimic situation,3 - Low
5SD_0249,"My housing is stable, but the costs are high, and I worry about future expenses.",4 - Your econimic situation,2 - Medium
5SD_0250,"My financial situation is tight, but I prioritize my medication. I sometimes have to cut back on other expenses to afford my pills.",4 - Your econimic situation,2 - Medium
5SD_0251,"Housing instability has made it hard to keep my medication routine, especially when I have no fixed address.",4 - Your econimic situation,2 - Medium
5SD_0252,"My income is unstable, and I worry about being able to pay for my medication in the coming months.",4 - Your econimic situation,2 - Medium
5SD_0253,"Financial hardship has made me anxious about my health, but I haven't missed any doses yet.",4 - Your econimic situation,3 - Low
5SD_0254,"Financial issues have caused me to delay refilling my medication a few times, but I haven't missed doses.",4 - Your econimic situation,3 - Low
5SD_0255,Housing instability and financial stress make it hard to keep up with my medication schedule consistently.,4 - Your econimic situation,2 - Medium
